id,name,category,glass,alcoholic,instructions,ingredient1,measure1,ingredient2,measure2,ingredient3,measure3
17836,"Acapulco","Ordinary Drink","Old-fashioned glass","Alcoholic","Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.","Light rum","1 1/2 oz ","Triple sec","1 1/2 tsp ","Lime juice","1 tblsp "
11014,"Alexander","Ordinary Drink","Cocktail glass","Alcoholic","Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.","Gin","1/2 oz ","Creme de Cacao","1/2 oz white ","Light cream","2 oz "
16419,"Avalanche","Shake","Highball glass","Alcoholic","Mix in highball glass over ice, shake well.","Crown Royal","1 shot ","Kahlua","1 shot ","Cream","Fill with "
11021,"Allegheny","Ordinary Drink","Cocktail glass","Alcoholic","Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.","Dry Vermouth","1 oz ","Bourbon","1 oz ","Blackberry brandy","1 1/2 tsp "
15941,"Americano","Ordinary Drink","Collins glass","Alcoholic","Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","Campari","1 oz ","Sweet Vermouth","1 oz red ","Lemon peel","Twist of "
11020,"Algonquin","Ordinary Drink","Cocktail glass","Alcoholic","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Blended whiskey","1 1/2 oz ","Dry Vermouth","1 oz ","Pineapple juice","1 oz "
11055,"Artillery","Ordinary Drink","Cocktail glass","Alcoholic","Stir all ingredients with ice, strain into a cocktail glass, and serve.","Sweet Vermouth","1 1/2 tsp ","Gin","1 1/2 oz ","Bitters","2 dashes "
12560,"Afterglow","Cocktail","Highball Glass","Non alcoholic","Mix. Serve over ice.","Grenadine","1 part ","Orange juice","4 parts ","Pineapple juice","4 parts "
17227,"Addington","Cocktail","Cocktail glass","Alcoholic","Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ","Sweet Vermouth","2 shots ","Dry Vermouth","1 shot ","Soda Water","Top up with
"
15853,"B-52","Shot","Shot glass","Alcoholic","Layer ingredients into a shot glass. Serve with a stirrer.","Baileys irish cream","1/3 ","Grand Marnier","1/3 ","Kahlua","1/4 "
13332,"B-53","Shot","Collins Glass","Alcoholic","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52","Kahlua","1/3 shot ","Sambuca","1/3 shot ","Grand Marnier","1/3 shot "
17254,"Bijou","Cocktail","Cocktail glass","Alcoholic","Stir in mixing glass with ice and strain ","Orange Bitters","1 dash","Green Chartreuse","1 oz","Gin","1 oz"
11149,"Boxcar","Ordinary Drink","Whiskey sour glass","Alcoholic","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Gin","1 1/2 oz ","Triple sec","1 oz ","Lemon juice","1 tsp "
13222,"Big Red","Shot","Shot glass","Alcoholic","Pour ingredients into 1 ounce shot glass","Irish cream","1/2 oz ","Goldschlager","1/2 oz ","",""
17195,"Bellini","Ordinary Drink","Champagne Flute","Alcoholic","Pour peach purée into chilled flute, add sparkling wine. Stir gently.","Champagne","6 oz ","Peach schnapps","1 oz ","",""
17210,"Bramble","Ordinary Drink","Old-Fashioned glass","Alcoholic","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin","4 cl","lemon juice","1.5 cl","Sugar syrup","1 cl"
11060,"Balmoral","Ordinary Drink","Cocktail glass","Alcoholic","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch","1 1/2 oz ","Sweet Vermouth","1/2 oz ","Dry Vermouth","1/2 oz "
11120,"Bluebird","Ordinary Drink","Cocktail glass","Alcoholic","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","Gin","1 1/2 oz ","Triple sec","1/2 oz ","Blue Curacao","1/2 oz "
178310,"Brooklyn","Cocktail","Cocktail glass","Alcoholic","Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.","Rye Whiskey","2 oz","Dry Vermouth","1 oz","Maraschino Liqueur","1/4 oz"
12572,"Bora Bora","Cocktail","Highball glass","Non alcoholic","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","Pineapple juice","10 cl ","Passion fruit juice","6 cl ","Lemon juice","1 cl "
11124,"Boomerang","Ordinary Drink","Cocktail glass","Alcoholic","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","Gin","2 oz ","Dry Vermouth","1/2 oz ","Bitters","2 dashes "
17209,"Barracuda","Ordinary Drink","Margarita glass","Alcoholic","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","Rum","4.5 cl","Galliano","1.5 cl","Pineapple Juice","6 cl"
17825,"Brigadier","Cocktail","Coupe Glass","Alcoholic","Mix ingredients in a warmed mug and stir.","Hot Chocolate","4 oz","Green Chartreuse","1 oz","Cherry Heering","1 oz"
178311,"Broadside","Cocktail","Highball glass","Alcoholic","Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!","151 proof rum","1 shot","Scotch","1/2 shot","Bitters","3 drops"
17035,"Buccaneer","Beer","Beer pilsner","Alcoholic","Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently","Corona","1 ","Bacardi Limon","1 shot ","",""
17120,"Brain Fart","Punch / Party Drink","Punch bowl","Alcoholic","Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.","Everclear","1 fifth ","Vodka","1 fifth Smirnoff red label ","Mountain Dew","2 L "
11106,"Blackthorn","Ordinary Drink","Cocktail glass","Alcoholic","Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.","Sweet Vermouth","1 oz ","Sloe gin","1 1/2 oz ","Lemon peel","1 twist of "
13395,"Bob Marley","Shot","Shot glass","Alcoholic","Layer in a 2 oz shot glass or pony glass","Midori melon liqueur","1/2 oz ","Jägermeister","1/2 oz ","Goldschlager","1/2 oz "
16986,"Bible Belt","Other / Unknown","Highball glass","Alcoholic","Mix all ingredients, and pour over ice.","Southern Comfort","2 oz ","Triple sec","1/2 oz ","Lime","2 wedges "
14730,"Bubble Gum","Shot","Shot glass","Alcoholic","Layer in order into a shot glass.","Vodka","1/4 ","Banana liqueur","1/4 ","Orange juice","1/4 "
14538,"Bumble Bee","Shot","Shot glass","Alcoholic","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!","Baileys irish cream","1/3 oz ","Kahlua","1/3 oz ","Sambuca","1/3 oz "
15511,"Baby Eskimo","Shake","Collins Glass","Alcoholic","Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.","Kahlua","2 oz ","Milk","8 oz ","Vanilla ice-cream","2 scoops "
11129,"Boston Sour","Ordinary Drink","Whiskey sour glass","Alcoholic","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.","Blended whiskey","2 oz ","Lemon","Juice of 1/2 ","Powdered sugar","1 tsp "
17267,"Bahama Mama","Cocktail","Highball glass","Alcoholic","Add 2 parts club soda or more or less to taste.  Mix it all together and pour over a bunch of ice. Drink with a straw.","Rum","3 parts","Dark Rum","1 part","Banana liqueur","1 part"
178352,"Frosé","Cocktail","Cocktail glass","Alcoholic","Step 1 Pour rosé into a 13x9 pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.  Step 2 Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.","Rose","750 ml","Sugar","1/2 cup","Strawberries","8 oz"
12768,"Frappé","Coffee / Tea","Highball Glass","Non alcoholic","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the b","Coffee","1/2 cup black ","Milk","1/2 cup ","Sugar","1-2 tsp "
11375,"Foxy Lady","Ordinary Drink","Cocktail glass","Alcoholic","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Amaretto","1/2 oz ","Creme de Cacao","1/2 oz ","Light cream","2 oz "
17197,"French 75","Ordinary Drink","Collins glass","Alcoholic","Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","Gin","1 1/2 oz ","Sugar","2 tsp superfine ","Lemon juice","1 1/2 oz "
178344,"Figgy Thyme","Cocktail","Highball glass","Alcoholic","In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.","Vodka","2 oz","Honey","1 tsp","Figs","3"
11382,"Frisco Sour","Ordinary Drink","Whiskey sour glass","Alcoholic","Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.","Blended whiskey","2 oz ","Benedictine","1/2 oz ","Lemon","Juice of 1/4 "
12674,"Fruit Shake","Other / Unknown","Highball Glass","Non alcoholic","Blend til smooth.","Yoghurt","1 cup fruit ","Banana","1 ","Orange juice","4 oz frozen "
12670,"Fruit Cooler","Other / Unknown","Highball Glass","Non alcoholic","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.","Apple juice","1 can frozen ","Strawberries","1 cup ","Sugar","2 tblsp "
14688,"Freddy Kruger","Shot","Shot glass","Alcoholic","make it an ample size shot!!","Jägermeister","1/2 oz ","Sambuca","1/2 oz ","Vodka","1/2 oz "
178328,"Funk and Soul","Cocktail","Collins glass","Alcoholic","Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.","Rum","2 shots","Apricot Nectar","1 shot","Pomegranate juice","1 shot"
15743,"Fuzzy Asshole","Coffee / Tea","Coffee mug","Alcoholic","fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.","Coffee","1/2 ","Peach schnapps","1/2 ","",""
17213,"French Martini","Cocktail","Cocktail glass","Alcoholic","Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.","Vodka","4.5 cl","Raspberry Liqueur","1.5 cl","pineapple juice","1.5 cl"
17248,"French Negroni","Cocktail","Martini Glass","Alcoholic","Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.","Gin","1 oz","Lillet","1 oz","Sweet Vermouth","1 oz"
13070,"Fahrenheit 5000","Shot","Shot glass","Alcoholic","Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.","Firewater","1/2 oz ","Absolut Peppar","1/2 oz ","Tabasco sauce","1 dash "
11368,"Flying Dutchman","Ordinary Drink","Old-fashioned glass","Alcoholic","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.","Gin","2 oz ","Triple sec","1/2 oz ","",""
11387,"Frozen Daiquiri","Ordinary Drink","Champagne flute","Alcoholic","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.","Light rum","1 1/2 oz ","Triple sec","1 tblsp ","Lime juice","1 1/2 oz "
12672,"Fruit Flip-Flop","Other / Unknown","Highball Glass","Non alcoholic","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Yoghurt","1 cup ","Fruit juice","1 cup ","",""
11369,"Flying Scotchman","Ordinary Drink","Cocktail glass","Alcoholic","Shake all ingredients with ice, strain into a cocktail glass, and serve.","Scotch","1 oz ","Sweet Vermouth","1 oz ","Bitters","1 dash "
17198,"French Connection","Ordinary Drink","Old-fashioned glass","Alcoholic","Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","Cognac","1 1/2 oz ","Amaretto","3/4 oz ","",""
13202,"Flaming Dr. Pepper","Shot","Collins Glass","Alcoholic","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer","Amaretto","1 oz ","Vodka","1 oz ","151 proof rum","1 oz Bacardi "
16485,"Flaming Lamborghini","Cocktail","Cocktail glass","Alcoholic","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!","Kahlua","1 oz ","Sambuca","1 oz ","Blue Curacao","1 oz "
13675,"Flander's Flake-Out","Ordinary Drink","Collins Glass","Alcoholic","Bang 'em both in.","Sambuca","1/4 glass ","Sarsaparilla","3/4 glass ","",""
11390,"Frozen Mint Daiquiri","Ordinary Drink","Old-fashioned glass","Alcoholic","Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.","Light rum","2 oz ","Lime juice","1 tblsp ","Mint","6 "
11391,"Frozen Pineapple Daiquiri","Ordinary Drink","Cocktail Glass","Alcoholic","Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.","Light rum","1 1/2 oz ","Pineapple","4 chunks ","Lime juice","1 tblsp "
15997,"GG","Ordinary Drink","Collins Glass","Optional alcohol","Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.","Galliano","2 1/2 shots ","Ginger ale","","Ice",""
17255,"Gimlet","Cocktail","Martini Glass","Alcoholic","Add all the ingredients to a shaker and fill with ice.  Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.  Garnish with a lime wheel.","Gin","2 1/2 oz","Lime Juice","1/2 oz","Sugar Syrup","1/2 oz"
11422,"Godchild","Ordinary Drink","Champagne flute","Alcoholic","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Vodka","1 oz ","Amaretto","1 oz ","Heavy cream","1 oz "
11410,"Gin Fizz","Ordinary Drink","Highball glass","Alcoholic","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","Gin","2 oz ","Lemon","Juice of 1/2 ","Powdered sugar","1 tsp "
11417,"Gin Sour","Ordinary Drink","Whiskey sour glass","Alcoholic","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Gin","2 oz ","Lemon juice","1 oz ","Sugar","1/2 tsp superfine "
12758,"Gagliardo","Cocktail","Cocktail glass","Alcoholic","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.","Peach Vodka","5 parts ","Lemon juice","3 parts ","Galliano","1 part "
11424,"Godmother","Ordinary Drink","Old-fashioned glass","Alcoholic","Pour vodka and amaretto into an old-fashioned glass over ice and serve.","Vodka","1 1/2 oz ","Amaretto","3/4 oz ","",""
11423,"Godfather","Ordinary Drink","Old-fashioned glass","Alcoholic","Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","Scotch","1 1/2 oz ","Amaretto","3/4 oz ","",""
12944,"Gluehwein","Punch / Party Drink","Irish coffee cup","Optional alcohol","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.","Red wine","1 L ","Water","125 ml ","Sugar","60 gr "
178365,"Gin Tonic","Cocktail","Highball glass","Alcoholic","Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.","Gin","4 cl","Tonic Water","10 cl","Lemon Peel","1 Slice"
11420,"Gin Toddy","Ordinary Drink","Old-fashioned glass","Alcoholic","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.","Gin","2 oz ","Water","2 tsp ","Powdered sugar","1/2 tsp "
11416,"Gin Smash","Ordinary Drink","Old-fashioned glass","Alcoholic","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.","Gin","2 oz ","Carbonated water","1 oz ","Sugar","1 cube "
11408,"Gin Daisy","Ordinary Drink","Old-fashioned glass","Alcoholic","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.","Gin","2 oz ","Lemon juice","1 oz ","Sugar","1/2 tsp superfine "
178366,"Gin Lemon","Cocktail","Highball glass","Alcoholic","For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.","Gin","6 cl","Lemon Juice","8 cl","Lemon Peel","1 Slice"
11415,"Gin Sling","Ordinary Drink","Old-fashioned glass","Alcoholic","Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.","Gin","2 oz ","Lemon","Juice of 1/2 ","Powdered sugar","1 tsp "
17252,"Greyhound","Cocktail","Collins glass","Alcoholic","Add the vodka to a Collins glass filled with ice. Top with grapefruit juice and stir.  ","Vodka","1 1/2 oz","Grapefruit Juice","3 oz","",""
17230,"Gin Rickey","Cocktail","Highball glass","Alcoholic","Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.","Gin","2 oz ","Grenadine","1 tsp ","lemon","Juice of 1/2 "
11418,"Gin Squirt","Ordinary Drink","Highball glass","Alcoholic","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.","Gin","1 1/2 oz ","Grenadine","1 tsp ","Powdered sugar","1 tblsp "
15427,"Grand Blue","Ordinary Drink","Old-fashioned glass","Alcoholic","Serve in an old fashioned glass.","Malibu rum","1 1/2 cl ","Peach schnapps","1 1/2 cl ","Blue Curacao","1 1/2 cl "
11407,"Gin Cooler","Ordinary Drink","Collins glass","Alcoholic","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.","Gin","2 oz ","Carbonated water","","Powdered sugar",""
11419,"Gin Swizzle","Ordinary Drink","Highball glass","Alcoholic","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.","Lime juice","1 1/2 oz ","Sugar","1 tsp superfine ","Gin","2 oz "
11433,"Grass Skirt","Ordinary Drink","Old-fashioned glass","Alcoholic","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.","Gin","1 1/2 oz ","Triple sec","1 oz ","Pineapple juice","1 oz "
17200,"Grasshopper","Ordinary Drink","Cocktail glass","Alcoholic","Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.","Green Creme de Menthe","3/4 oz ","Creme de Cacao","3/4 oz white ","Light cream","3/4 oz "
14642,"Grim Reaper","Ordinary Drink","Old-fashioned glass","Alcoholic","Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.","Kahlua","1 oz ","151 proof rum","1 oz Bacardi ","Grenadine","1 dash "
178342,"Gin and Soda","Cocktail","Highball glass","Alcoholic","Pour the Gin and Soda water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.","Gin","2 oz","Soda Water","5 oz","Lime","1/4"
17203,"Kir","Ordinary Drink","Wine Glass","Alcoholic","Add the crème de cassis to the bottom of the glass, then top up with wine.","Creme de Cassis","1 part ","Champagne","5 parts ","",""
12764,"Karsk","Ordinary Drink","Highball glass","Alcoholic","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Coffee","1 part ","Grain alcohol","2 parts ","",""
11600,"Kamikaze","Ordinary Drink","Cocktail glass","Alcoholic","Shake all ingredients together with ice. Strain into glass, garnish and serve.","Vodka","1 oz ","Triple sec","1 oz ","Lime juice","1 oz "
13837,"Kir Royale","Ordinary Drink","Champagne Flute","Alcoholic","Pour Creme de cassis in glass, gently pour champagne on top","Creme de Cassis","1 part ","Champagne","5 parts ","",""
14752,"Kiwi Lemon","Ordinary Drink","Highball glass","Alcoholic","Mix in highball glass. Stirr. Garnish with slice of kiwi.","Kiwi liqueur","1 part ","Bitter lemon","2 parts ","Ice","cubes"
14456,"Kurant Tea","Coffee / Tea","Champagne flute","Alcoholic","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!","Absolut Kurant","4 cl ","Tea","Turkish apple ","Sugar"," (if needed)
"
16951,"Kioki Coffee","Coffee / Tea","Coffee mug","Alcoholic","Stir. Add whipped cream to the top.","Kahlua","1 oz ","Brandy","1/2 oz ","Coffee",""
178359,"Kiwi Martini","Cocktail","Cocktail glass","Alcoholic","The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.  For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.","Kiwi","1/2","Sugar Syrup","1 tsp","Vodka","1 1/2 oz"
15026,"Kiss me Quick","Ordinary Drink","Highball glass","Alcoholic","mix in the glass","Cranberry vodka","4 cl ","Apfelkorn","2 cl ","Schweppes Russchian","7 cl "
13190,"Kool-Aid Shot","Shot","Old-fashioned glass","Alcoholic","Pour into a large glass with ice and stir. Add a little cranberry juice to taste.","Vodka","1 shot ","Amaretto","1 shot ","Sloe gin","1 shot "
17006,"Kool First Aid","Shot","Shot glass","Alcoholic","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.","151 proof rum","2 oz light ","Kool-Aid","1/2 tsp Tropical ","",""
11602,"Kentucky B And B","Ordinary Drink","Brandy snifter","Alcoholic","Pour the bourbon and Benedictine into a brandy snifter.","Bourbon","2 oz ","Benedictine","1/2 oz ","",""
11604,"Kentucky Colonel","Ordinary Drink","Cocktail glass","Alcoholic","In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.","Bourbon","3 oz ","Benedictine","1/2 oz ","Lemon peel","1 twist of "
14446,"Kool-Aid Slammer","Shot","Shot glass","Alcoholic","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.","Kool-Aid","1/2 oz Grape ","Vodka","1/2 oz ","",""
